	modelname		description		price		condition		brand	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone 12 Mini'	, 	'거의 새 거예요. 사용감 없어요!'	, 	710000	, 	'S'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Zenfone 9'	, 	'사용감 거의 없고 상태 좋아요.'	, 	540000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG Velvet'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	840000	, 	'B'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Realme Narzo 50'	, 	'사용감 거의 없고 상태 좋아요.'	, 	520000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone 13'	, 	'거의 새 거예요. 사용감 없어요!'	, 	910000	, 	'S'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG Wing'	, 	'거의 새 거예요. 사용감 없어요!'	, 	300000	, 	'S'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ROG Phone 7'	, 	'사용감 거의 없고 상태 좋아요.'	, 	440000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Vivo V23'	, 	'사용감 거의 없고 상태 좋아요.'	, 	580000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Realme Narzo 50'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	380000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo A76'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	300000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG Wing'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	340000	, 	'C'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone 14 Pro'	, 	'거의 새 거예요. 사용감 없어요!'	, 	430000	, 	'S'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG G8 ThinQ'	, 	'거의 새 거예요. 사용감 없어요!'	, 	430000	, 	'S'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone 13'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	890000	, 	'B'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Moto Edge 30'	, 	'사용감 거의 없고 상태 좋아요.'	, 	1180000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Nokia G21'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	1140000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo Find X5'	, 	'거의 새 거예요. 사용감 없어요!'	, 	310000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo Reno 8'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	710000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'OnePlus 11'	, 	'거의 새 거예요. 사용감 없어요!'	, 	410000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo Reno 8'	, 	'사용감 거의 없고 상태 좋아요.'	, 	1140000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Blade V40'	, 	'거의 새 거예요. 사용감 없어요!'	, 	890000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Realme 10'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	760000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Razr 2022'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	730000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG G8 ThinQ'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	260000	, 	'C'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Redmi Note 12'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	200000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'OnePlus 9 Pro'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	880000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Xperia 10 IV'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	580000	, 	'B'	, 	'Sony'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG G8 ThinQ'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	210000	, 	'B'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Redmi Note 12'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	370000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor X8'	, 	'사용감 거의 없고 상태 좋아요.'	, 	630000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Xperia 1 V'	, 	'사용감 거의 없고 상태 좋아요.'	, 	690000	, 	'A'	, 	'Sony'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG Wing'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	380000	, 	'B'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ROG Phone 7'	, 	'거의 새 거예요. 사용감 없어요!'	, 	300000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Moto G Power'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	390000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Blade V40'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	360000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'OnePlus 9 Pro'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	1070000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Poco F5'	, 	'거의 새 거예요. 사용감 없어요!'	, 	1100000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Zenfone 9'	, 	'거의 새 거예요. 사용감 없어요!'	, 	570000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Vivo V23'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	1180000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Realme 10'	, 	'사용감 거의 없고 상태 좋아요.'	, 	800000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Moto Edge 30'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	470000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Xperia 5 III'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	1040000	, 	'C'	, 	'Sony'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Vivo V23'	, 	'거의 새 거예요. 사용감 없어요!'	, 	320000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG G8 ThinQ'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	700000	, 	'B'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'OnePlus 11'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	740000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Xperia 1 V'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	530000	, 	'B'	, 	'Sony'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Razr 2022'	, 	'사용감 거의 없고 상태 좋아요.'	, 	440000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Razr 2022'	, 	'거의 새 거예요. 사용감 없어요!'	, 	400000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Vivo V23'	, 	'사용감 거의 없고 상태 좋아요.'	, 	900000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG G8 ThinQ'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	1090000	, 	'B'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Galaxy S23'	, 	'거의 새 거예요. 사용감 없어요!'	, 	760000	, 	'S'	, 	'Samsung'	);
