INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	1	, 	'/images/1.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	2	, 	'/images/2.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	3	, 	'/images/3.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	4	, 	'/images/4.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	5	, 	'/images/5.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	6	, 	'/images/6.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	7	, 	'/images/7.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	8	, 	'/images/8.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	9	, 	'/images/9.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	10	, 	'/images/10.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	11	, 	'/images/11.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	12	, 	'/images/12.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	13	, 	'/images/13.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	14	, 	'/images/14.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	15	, 	'/images/15.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	16	, 	'/images/16.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	17	, 	'/images/17.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	18	, 	'/images/18.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	19	, 	'/images/19.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	20	, 	'/images/20.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	21	, 	'/images/21.jpg'	);
